mal_id,title,type,status,score,start_date,rank,popularity,members,favorites,genres,themes,episodes,season,year,season_length
38472,Isekai Quartet,TV,Finished Airing,7.37,2019-04-10 00:00:00+00:00,2562.0,640,405682,1040,"['Comedy', 'Fantasy']","['Isekai', 'Parody']",12.0,Spring,2019,Short
39988,Isekai Quartet 2,TV,Finished Airing,7.36,2020-01-15 00:00:00+00:00,2622.0,1083,249150,263,"['Comedy', 'Fantasy']","['Isekai', 'Parody']",12.0,Winter,2020,Short
61851,Isekai Quartet 3,TV,Not yet aired,7.43,2025-10-13 00:00:00+00:00,2344.0,5129,21889,50,"['Comedy', 'Fantasy']","['Isekai', 'Parody']",11.0,Fall,2025,Short
52367,Isekai Shikkaku,TV,Finished Airing,7.26,2024-07-09 00:00:00+00:00,3096.0,1234,218282,833,"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody']",12.0,Summer,2024,Short
34012,Isekai Shokudou,TV,Finished Airing,7.41,2017-07-04 00:00:00+00:00,2381.0,956,280168,1115,"['Fantasy', 'Gourmet', 'Slice of Life']","['Isekai', 'Workplace']",12.0,Summer,2017,Short
48804,Isekai Shokudou 2,TV,Finished Airing,7.69,2021-10-02 00:00:00+00:00,1370.0,2159,111013,450,"['Fantasy', 'Gourmet', 'Slice of Life']","['Isekai', 'Workplace']",12.0,Fall,2021,Short
50220,Isekai Shoukan wa Nidome desu,TV,Finished Airing,5.67,2023-04-09 00:00:00+00:00,11849.0,1455,181961,762,"['Adventure', 'Comedy', 'Fantasy', 'Romance']","['Harem', 'Isekai']",12.0,Spring,2023,Short
55848,Isekai Suicide Squad,TV,Finished Airing,6.4,2024-07-06 00:00:00+00:00,7908.0,1657,155644,565,"['Action', 'Fantasy']","['Adult Cast', 'Isekai']",10.0,Summer,2024,Short
35203,Isekai wa Smartphone to Tomo ni.,TV,Finished Airing,6.11,2017-07-11 00:00:00+00:00,9568.0,394,612434,3010,"['Adventure', 'Comedy', 'Fantasy', 'Romance']","['Harem', 'Isekai']",12.0,Summer,2017,Short
51632,Isekai wa Smartphone to Tomo ni. 2,TV,Finished Airing,6.4,2023-04-03 00:00:00+00:00,7909.0,1593,165752,1061,"['Adventure', 'Comedy', 'Fantasy', 'Romance']","['Harem', 'Isekai']",12.0,Spring,2023,Short
49438,Isekai Yakkyoku,TV,Finished Airing,7.26,2022-07-10 00:00:00+00:00,3097.0,1047,258525,969,['Fantasy'],"['Isekai', 'Medical', 'Reincarnation']",12.0,Summer,2022,Short
57380,Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,TV,Finished Airing,6.68,2024-07-08 00:00:00+00:00,6164.0,2499,88467,317,"['Adventure', 'Fantasy', 'Slice of Life']","['Childcare', 'Isekai']",12.0,Summer,2024,Short
54449,Ishura,TV,Finished Airing,6.72,2024-01-03 00:00:00+00:00,5900.0,1973,125529,453,"['Action', 'Adventure', 'Fantasy']","['Gore', 'Isekai']",12.0,Winter,2024,Short
58484,Ishura 2nd Season,TV,Finished Airing,7.19,2025-01-08 00:00:00+00:00,3517.0,3844,41481,156,"['Action', 'Adventure', 'Fantasy']","['Gore', 'Isekai']",12.0,Winter,2025,Short
14765,Ixion Saga DT,TV,Finished Airing,7.12,2012-10-08 00:00:00+00:00,3916.0,2045,120020,390,"['Action', 'Comedy', 'Fantasy']",['Isekai'],25.0,Fall,2012,Medium
2523,Izumo: Takeki Tsurugi no Senki,TV,Finished Airing,6.1,2005-04-03 00:00:00+00:00,9649.0,6112,13834,17,"['Adventure', 'Drama', 'Fantasy', 'Romance']","['Isekai', 'Martial Arts']",12.0,Spring,2005,Short
58822,Izure Saikyou no Renkinjutsushi?,TV,Finished Airing,6.61,2025-01-08 00:00:00+00:00,6617.0,2194,107745,281,"['Adventure', 'Fantasy']",['Isekai'],12.0,Winter,2025,Short
52619,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,TV,Finished Airing,6.44,2023-07-05 00:00:00+00:00,7640.0,1563,169458,401,"['Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",12.0,Summer,2023,Short
56700,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season,TV,Finished Airing,6.51,2025-07-02 00:00:00+00:00,7170.0,3493,48805,74,"['Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",12.0,Summer,2025,Short
52969,"Jitsu wa Ore, Saikyou deshita?",TV,Finished Airing,6.47,2023-07-02 00:00:00+00:00,7448.0,1348,197827,578,"['Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",12.0,Summer,2023,Short
153,Juuni Kokuki,TV,Finished Airing,8.01,2002-04-09 00:00:00+00:00,671.0,1576,167554,2608,"['Action', 'Adventure', 'Fantasy']",['Isekai'],45.0,Spring,2002,Long
48316,Kage no Jitsuryokusha ni Naritakute!,TV,Finished Airing,8.24,2022-10-05 00:00:00+00:00,355.0,268,807396,17470,"['Action', 'Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",20.0,Fall,2022,Medium
54595,Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV,Finished Airing,8.28,2023-10-04 00:00:00+00:00,317.0,507,490655,5063,"['Action', 'Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",12.0,Fall,2023,Short
41312,Kami-tachi ni Hirowareta Otoko,TV,Finished Airing,6.96,2020-10-04 00:00:00+00:00,4668.0,1099,244656,1145,"['Fantasy', 'Slice of Life']","['Isekai', 'Iyashikei', 'Reincarnation']",12.0,Fall,2020,Short
49109,Kami-tachi ni Hirowareta Otoko 2nd Season,TV,Finished Airing,6.81,2023-01-09 00:00:00+00:00,5406.0,1856,135882,775,"['Fantasy', 'Slice of Life']","['Isekai', 'Iyashikei', 'Reincarnation']",12.0,Winter,2023,Short
21563,Kamigami no Asobi,TV,Finished Airing,6.99,2014-04-06 00:00:00+00:00,4528.0,1685,152202,779,"['Fantasy', 'Romance']","['Isekai', 'Mythology', 'Reverse Harem']",12.0,Spring,2014,Short
51693,Kaminaki Sekai no Kamisama Katsudou,TV,Finished Airing,6.68,2023-04-06 00:00:00+00:00,6167.0,1208,224093,765,"['Action', 'Comedy', 'Fantasy']","['Isekai', 'Parody']",12.0,Spring,2023,Short
52308,Kanojo ga Koushaku-tei ni Itta Riyuu,TV,Finished Airing,7.53,2023-04-10 00:00:00+00:00,1892.0,1438,184702,1658,"['Fantasy', 'Romance']","['Isekai', 'Reincarnation']",12.0,Spring,2023,Short
54265,Kekkon Yubiwa Monogatari,TV,Finished Airing,6.07,2024-01-06 00:00:00+00:00,9823.0,1929,129127,375,"['Action', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai']",12.0,Winter,2024,Short
58515,Kekkon Yubiwa Monogatari II,TV,Not yet aired,6.46,2025-10-04 00:00:00+00:00,7744.0,4869,24767,62,"['Action', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai']",13.0,Fall,2025,Short
42072,Kenja no Deshi wo Nanoru Kenja,TV,Finished Airing,6.33,2022-01-12 00:00:00+00:00,8261.0,1808,139168,652,"['Adventure', 'Fantasy']","['Isekai', 'Magical Sex Shift']",12.0,Winter,2022,Short
36407,Kenja no Mago,TV,Finished Airing,6.61,2019-04-10 00:00:00+00:00,6622.0,371,642480,3073,"['Action', 'Comedy', 'Fantasy', 'Romance']","['Isekai', 'Reincarnation']",12.0,Spring,2019,Short
2074,Kerokero Chime,TV,Finished Airing,6.46,1997-03-06 00:00:00+00:00,7535.0,12168,2094,1,"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody']",30.0,Spring,1997,Long
845,Kiba,TV,Finished Airing,7.28,2006-04-02 00:00:00+00:00,3000.0,2626,81630,455,"['Action', 'Adventure', 'Fantasy']",['Isekai'],51.0,Spring,2006,Long
34104,Knight's & Magic,TV,Finished Airing,7.07,2017-07-02 00:00:00+00:00,4170.0,938,285326,1086,"['Action', 'Fantasy']","['Isekai', 'Mecha', 'Reincarnation', 'School']",13.0,Summer,2017,Short
30831,Kono Subarashii Sekai ni Shukufuku wo!,TV,Finished Airing,8.09,2016-01-14 00:00:00+00:00,558.0,39,2096852,47039,"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody']",10.0,Winter,2016,Short
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,Finished Airing,8.24,2017-01-12 00:00:00+00:00,356.0,77,1615298,12001,"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody']",10.0,Winter,2017,Short
49458,Kono Subarashii Sekai ni Shukufuku wo! 3,TV,Finished Airing,8.35,2024-04-10 00:00:00+00:00,255.0,481,513867,5480,"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody']",11.0,Spring,2024,Short
40974,Kuma Kuma Kuma Bear,TV,Finished Airing,7.23,2020-10-07 00:00:00+00:00,3270.0,1454,182054,1035,"['Adventure', 'Comedy', 'Fantasy']",['Isekai'],12.0,Fall,2020,Short
45486,Kuma Kuma Kuma Bear Punch!,TV,Finished Airing,7.28,2023-04-03 00:00:00+00:00,3001.0,2437,91477,445,"['Adventure', 'Comedy', 'Fantasy']",['Isekai'],12.0,Spring,2023,Short
37984,"Kumo desu ga, Nani ka?",TV,Finished Airing,7.45,2021-01-08 00:00:00+00:00,2240.0,506,491279,4690,"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",24.0,Winter,2021,Medium
51064,Kuro no Shoukanshi,TV,Finished Airing,7.02,2022-07-09 00:00:00+00:00,4394.0,963,279031,1148,"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",12.0,Summer,2022,Short
251,Kyou kara Maou!,TV,Finished Airing,7.61,2004-04-03 00:00:00+00:00,1602.0,2033,120837,1387,"['Adventure', 'Comedy', 'Fantasy']",['Isekai'],78.0,Spring,2004,Long
4080,Kyou kara Maou! 3rd Series,TV,Finished Airing,7.72,2008-04-03 00:00:00+00:00,1288.0,4053,37077,129,"['Adventure', 'Comedy', 'Fantasy']",['Isekai'],39.0,Spring,2008,Long
48239,Leadale no Daichi nite,TV,Finished Airing,6.95,2022-01-05 00:00:00+00:00,4717.0,1451,182215,964,"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",12.0,Winter,2022,Short
51764,Level 1 dakedo Unique Skill de Saikyou desu,TV,Finished Airing,6.21,2023-07-08 00:00:00+00:00,8980.0,1720,148042,338,"['Adventure', 'Fantasy']","['Harem', 'Isekai', 'Reincarnation']",12.0,Summer,2023,Short
56923,Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,TV,Finished Airing,6.82,2024-04-08 00:00:00+00:00,5392.0,1198,226977,985,"['Adventure', 'Fantasy', 'Romance']",['Isekai'],12.0,Spring,2024,Short
56449,Madougushi Dahliya wa Utsumukanai,TV,Finished Airing,6.8,2024-07-06 00:00:00+00:00,5479.0,2720,76753,194,"['Fantasy', 'Slice of Life']","['Adult Cast', 'Isekai', 'Reincarnation']",12.0,Summer,2024,Short
435,Magic Knight Rayearth,TV,Finished Airing,7.45,1994-10-17 00:00:00+00:00,2244.0,2723,76761,598,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']","['Isekai', 'Mecha']",20.0,Fall,1994,Medium
1563,Magic Knight Rayearth II,TV,Finished Airing,7.49,1995-04-10 00:00:00+00:00,2066.0,4051,37083,159,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']","['Isekai', 'Mahou Shoujo', 'Mecha']",29.0,Spring,1995,Long
59265,Magic Maker: Isekai Mahou no Tsukurikata,TV,Finished Airing,6.82,2025-01-09 00:00:00+00:00,5393.0,2880,69814,134,['Fantasy'],"['Isekai', 'Reincarnation']",12.0,Winter,2025,Short
872,Mahou Shoujo-tai Arusu,TV,Finished Airing,7.03,2004-04-09 00:00:00+00:00,4379.0,4310,32603,89,"['Adventure', 'Comedy', 'Fantasy']",['Isekai'],40.0,Spring,2004,Long
57152,Mahoutsukai no Yakusoku,TV,Finished Airing,5.49,2025-01-06 00:00:00+00:00,12510.0,4841,25101,86,['Fantasy'],['Isekai'],12.0,Winter,2025,Short
38297,"Maou-sama, Retry!",TV,Finished Airing,6.55,2019-07-04 00:00:00+00:00,6971.0,973,276505,671,"['Action', 'Adventure', 'Fantasy']",['Isekai'],12.0,Summer,2019,Short
56400,"Maou-sama, Retry! R",TV,Finished Airing,5.92,2024-10-05 00:00:00+00:00,10655.0,3494,48821,105,"['Action', 'Adventure', 'Fantasy']",['Isekai'],12.0,Fall,2024,Short
57876,Maougun Saikyou no Majutsushi wa Ningen datta,TV,Finished Airing,6.41,2024-07-03 00:00:00+00:00,7841.0,1781,142086,415,"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",12.0,Summer,2024,Short
3837,Mashin Eiyuuden Wataru,TV,Finished Airing,6.93,1988-04-15 00:00:00+00:00,4793.0,9997,3959,14,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Isekai', 'Mecha']",45.0,Spring,1988,Long
4807,Mashin Eiyuuden Wataru 2,TV,Finished Airing,6.78,1990-03-09 00:00:00+00:00,5578.0,12379,1964,2,"['Action', 'Adventure', 'Comedy']","['Isekai', 'Mecha']",46.0,Spring,1990,Long
1161,Maze☆Bakunetsu Jikuu (TV),TV,Finished Airing,6.58,1997-04-03 00:00:00+00:00,6801.0,7558,8302,11,"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Magical Sex Shift', 'Mecha']",25.0,Spring,1997,Medium
35997,Märchen Mädchen,TV,Finished Airing,5.41,2018-01-11 00:00:00+00:00,12793.0,3746,43399,49,['Fantasy'],"['Isekai', 'School']",10.0,Winter,2018,Short
738,MÄR,TV,Finished Airing,7.24,2005-04-03 00:00:00+00:00,3259.0,3253,55564,321,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],102.0,Spring,2005,Long
42340,Meikyuu Black Company,TV,Finished Airing,7.21,2021-07-09 00:00:00+00:00,3428.0,1086,248270,881,"['Comedy', 'Fantasy']",['Isekai'],12.0,Summer,2021,Short
57315,"Meitou ""Isekai no Yu"" Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita",TV,Finished Airing,5.23,2024-01-12 00:00:00+00:00,13275.0,3837,41538,154,"['Fantasy', 'Ecchi']","['Harem', 'Isekai']",12.0,Winter,2024,Short
60732,Mizu Zokusei no Mahoutsukai,TV,Finished Airing,7.11,2025-07-04 00:00:00+00:00,3952.0,1946,127379,487,"['Adventure', 'Fantasy']","['Adult Cast', 'Isekai', 'Reincarnation']",12.0,Summer,2025,Short
15315,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,TV,Finished Airing,7.41,2013-01-12 00:00:00+00:00,2392.0,396,609702,3737,"['Action', 'Comedy', 'Fantasy']","['Isekai', 'Mythology']",10.0,Winter,2013,Short
1469,Monster Farm: Enbanseki no Himitsu,TV,Finished Airing,6.8,1999-04-17 00:00:00+00:00,5483.0,3527,48085,120,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],48.0,Spring,1999,Long
13201,Monster Farm: Legend e no Michi,TV,Finished Airing,6.74,2000-04-01 00:00:00+00:00,5806.0,5330,19905,18,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],25.0,Spring,2000,Medium
51179,Mushoku Tensei II: Isekai Ittara Honki Dasu,TV,Finished Airing,8.21,2023-07-10 00:00:00+00:00,394.0,323,705226,7638,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']","['Isekai', 'Reincarnation']",12.0,Summer,2023,Short
55888,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,TV,Finished Airing,8.41,2024-04-08 00:00:00+00:00,208.0,466,522101,4390,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']","['Isekai', 'Reincarnation']",12.0,Spring,2024,Short
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,TV,Finished Airing,8.34,2021-01-11 00:00:00+00:00,266.0,91,1504797,38092,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']","['Isekai', 'Reincarnation']",11.0,Winter,2021,Short
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,Finished Airing,8.62,2021-10-04 00:00:00+00:00,93.0,164,1068408,19113,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']","['Isekai', 'Reincarnation']",12.0,Fall,2021,Short
2084,NG Knight Ramune & 40,TV,Finished Airing,7.02,1990-04-06 00:00:00+00:00,4398.0,9224,5039,24,"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Mecha']",38.0,Spring,1990,Long
57648,Nihon e Youkoso Elf-san.,TV,Finished Airing,7.29,2025-01-10 00:00:00+00:00,2944.0,2586,83745,259,"['Comedy', 'Fantasy']",['Isekai'],12.0,Winter,2025,Short
19815,No Game No Life,TV,Finished Airing,8.04,2014-04-09 00:00:00+00:00,632.0,20,2513139,48288,"['Comedy', 'Fantasy', 'Ecchi']","['Isekai', 'Strategy Game']",12.0,Spring,2014,Short
52611,Okashi na Tensei,TV,Finished Airing,6.7,2023-07-04 00:00:00+00:00,6080.0,2244,104506,246,['Fantasy'],"['Isekai', 'Reincarnation']",12.0,Summer,2023,Short
61549,Okiraku Ryoushu no Tanoshii Ryouchi Bouei: Seisankei Majutsu de Na mo Naki Mura wo Saikyou no Jousai Toshi ni,TV,Not yet aired,6.85,2026-01-01 00:00:00+00:00,5374.0,11375,2629,8,['Fantasy'],"['Isekai', 'Reincarnation']",12.0,Winter,2026,Short
61150,Onmyou Kaiten Re:Birth,TV,Finished Airing,6.53,2025-07-03 00:00:00+00:00,7077.0,4995,23278,35,"['Action', 'Fantasy', 'Sci-Fi']",['Isekai'],12.0,Summer,2025,Short
60154,Ore wa Seikan Kokka no Akutoku Ryoushu!,TV,Finished Airing,7.02,2025-04-06 00:00:00+00:00,4399.0,2698,77585,270,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']","['Harem', 'Isekai', 'Mecha', 'Reincarnation', 'Space']",12.0,Spring,2025,Short
38555,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,TV,Finished Airing,7.45,2020-04-05 00:00:00+00:00,2246.0,502,495999,3192,"['Comedy', 'Fantasy', 'Romance']","['Isekai', 'Reverse Harem', 'School', 'Villainess']",12.0,Spring,2020,Short
42282,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,TV,Finished Airing,7.25,2021-07-03 00:00:00+00:00,3193.0,1018,266215,1105,"['Comedy', 'Fantasy', 'Romance']","['Isekai', 'Reverse Harem', 'School', 'Villainess']",12.0,Summer,2021,Short
50461,Otome Game Sekai wa Mob ni Kibishii Sekai desu,TV,Finished Airing,7.32,2022-04-03 00:00:00+00:00,2805.0,727,362851,2332,"['Action', 'Fantasy', 'Romance']","['Harem', 'Isekai', 'Mecha', 'Reincarnation', 'School']",12.0,Spring,2022,Short
19369,Outbreak Company,TV,Finished Airing,7.16,2013-10-04 00:00:00+00:00,3692.0,695,377961,917,"['Comedy', 'Fantasy']","['Harem', 'Isekai', 'Otaku Culture', 'Parody']",12.0,Fall,2013,Short
29803,Overlord,TV,Finished Airing,7.9,2015-07-07 00:00:00+00:00,870.0,70,1713019,27954,"['Action', 'Adventure', 'Fantasy']",['Isekai'],13.0,Summer,2015,Short
